ExperimentID,Model,Setting,DataScope,TrainManifest,ValManifest,MainMetricName,MainMetricValue,TrainTime,PeakGPUMemoryMB,OutputDir,Status,Conclusion,Notes
exp_track2_ast_audioset_ft_v2_seed7,ast_audioset_ft,enhancement,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9833,2012.49s,4143.09,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_seed7,completed,AST full fine-tuning remains strong under a different seed and exceeds the seed42 run,macro_f1=0.9832 epochs=5 best_epoch=4 seed=7 larger balanced subset train=16000 dev=4000
exp_track2_ast_audioset_ft_v2_seed123,ast_audioset_ft,enhancement,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9783,2010.41s,4143.09,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_seed123,completed,AST full fine-tuning remains stable across a third seed,macro_f1=0.9782 epochs=5 best_epoch=2 seed=123 larger balanced subset train=16000 dev=4000
exp_track2_ast_audioset_ft_v2_bs128_seed42,ast_audioset_ft,large_batch,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9895,1709.21s,91153.91,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_bs128_seed42,completed,Large-batch AST fine-tuning is the current high-throughput main recipe,macro_f1=0.9895 epochs=5 best_epoch=4 seed=42 batch_size=128 train=16000 dev=4000
exp_track2_ast_audioset_ft_v2_bs128_seed7,ast_audioset_ft,large_batch,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9873,1711.20s,91153.91,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_bs128_seed7,completed,Large-batch AST remains strong under seed7 but does not beat seed42,macro_f1=0.9872 epochs=5 best_epoch=3 seed=7 batch_size=128 later_epochs_drop_to_0.979
exp_track2_ast_audioset_ft_v2_bs128_eval_alt30,ast_audioset_ft,eval_disjoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_disjoint_alt30.csv,accuracy,0.9875,eval-only,NA,/root/autodl-tmp/ATADD/outputs/eval_ast_bs128_seed42_disjoint_alt30,completed,The bs128 checkpoint generalizes to a fully disjoint balanced dev slice,macro_f1=0.9875 loss=0.04318 checkpoint=track2_subset_ast_audioset_ft_v2_bs128_seed42/best.pt
exp_track2_ast_audioset_ft_v2_bs128_eval_cap500,ast_audioset_ft,eval_disjoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_disjoint_cap500.csv,accuracy,0.9895,eval-only,NA,/root/autodl-tmp/ATADD/outputs/eval_ast_bs128_seed42_disjoint_cap500,completed,The bs128 checkpoint remains strong on the larger disjoint dev remainder,macro_f1=0.9894 loss=0.03405 checkpoint=track2_subset_ast_audioset_ft_v2_bs128_seed42/best.pt
exp_track2_ast_audioset_ft_v2_bs128_to_bs8_seed42,ast_audioset_ft,finetune_from_checkpoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9875,1148.60s,7281.75,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_bs128_to_bs8_seed42,completed,Small-batch bs8 refinement did not improve the bs128 checkpoint,macro_f1=0.9875 epochs=3 best_epoch=1 seed=42 init=bs128 lr=5e-6 batch_size=8
exp_track2_ast_audioset_ft_v2_bs128_to_bs32_lr1e6_seed42,ast_audioset_ft,finetune_from_checkpoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9898,346.36s,23998.50,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_bs128_to_bs32_lr1e6_seed42,completed,One-epoch low-lr bs32 refinement slightly improves bs128 and remains stable on disjoint dev,macro_f1=0.98975 epoch=1 seed=42 init=bs128 lr=1e-6 batch_size=32 disjoint_alt30_acc=0.9917 disjoint_cap500_acc=0.9926
exp_track2_ast_audioset_ft_v2_bs128_seed7_to_bs32_lr1e6_seed7,ast_audioset_ft,finetune_from_checkpoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9930,337.15s,23998.50,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2_bs128_seed7_to_bs32_lr1e6_seed7,completed,Seed7 low-lr bs32 refinement confirms the two-stage AST recipe and becomes the best current dev result,macro_f1=0.9930 epoch=1 seed=7 init=bs128_seed7 lr=1e-6 batch_size=32 disjoint_alt30_acc=0.9875 disjoint_cap500_acc=0.9921
exp_track2_ast_audioset_ft_v2_bs128_to_bs32_eval_alt30,ast_audioset_ft,eval_disjoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_disjoint_alt30.csv,accuracy,0.9917,eval-only,NA,/root/autodl-tmp/ATADD/outputs/eval_ast_bs128_to_bs32_lr1e6_seed42_disjoint_alt30,completed,Low-lr bs32 refinement improves disjoint alt30 evaluation over the bs128 checkpoint,macro_f1=0.9917 loss=0.02815 checkpoint=track2_subset_ast_audioset_ft_v2_bs128_to_bs32_lr1e6_seed42/best.pt
exp_track2_ast_audioset_ft_v2_bs128_to_bs32_eval_cap500,ast_audioset_ft,eval_disjoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_disjoint_cap500.csv,accuracy,0.9926,eval-only,NA,/root/autodl-tmp/ATADD/outputs/eval_ast_bs128_to_bs32_lr1e6_seed42_disjoint_cap500,completed,Low-lr bs32 refinement improves the larger disjoint dev remainder over the bs128 checkpoint,macro_f1=0.9925 loss=0.03357 checkpoint=track2_subset_ast_audioset_ft_v2_bs128_to_bs32_lr1e6_seed42/best.pt
exp_track2_ast_audioset_ft_v2_bs128_seed7_to_bs32_eval_alt30,ast_audioset_ft,eval_disjoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_disjoint_alt30.csv,accuracy,0.9875,eval-only,NA,/root/autodl-tmp/ATADD/outputs/eval_ast_bs128_seed7_to_bs32_lr1e6_seed7_disjoint_alt30,completed,Seed7 calibrated checkpoint remains strong on the fully disjoint balanced dev slice,macro_f1=0.9875 loss=0.03538 checkpoint=track2_subset_ast_audioset_ft_v2_bs128_seed7_to_bs32_lr1e6_seed7/best.pt
exp_track2_ast_audioset_ft_v2_bs128_seed7_to_bs32_eval_cap500,ast_audioset_ft,eval_disjoint,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_disjoint_cap500.csv,accuracy,0.9921,eval-only,NA,/root/autodl-tmp/ATADD/outputs/eval_ast_bs128_seed7_to_bs32_lr1e6_seed7_disjoint_cap500,completed,Seed7 calibrated checkpoint remains at the same high level on the larger disjoint dev remainder,macro_f1=0.9920 loss=0.02724 checkpoint=track2_subset_ast_audioset_ft_v2_bs128_seed7_to_bs32_lr1e6_seed7/best.pt
